1	20.211945ms
2	20.580492ms
3	20.323456ms
4	20.298103ms
5	20.414302ms
6	20.721359ms
7	20.992794ms
8	20.412028ms
9	21.259702ms
10	21.905719ms
11	21.470561ms
12	23.013541ms
13	21.81274ms
14	21.913652ms
15	22.161021ms
16	20.60268ms
17	21.113001ms
18	21.055347ms
19	20.732206ms
20	21.179912ms
21	25.127962ms
22	21.043813ms
23	21.236746ms
24	23.308522ms
25	21.059857ms
26	21.224269ms
27	21.541377ms
28	21.225186ms
29	21.25387ms
30	21.06019ms
31	21.242191ms
32	21.249048ms
33	21.111017ms
34	21.019612ms
35	21.020035ms
36	26.996979ms
37	25.262816ms
38	21.332163ms
39	21.275328ms
40	21.426321ms
41	21.565775ms
42	21.83901ms
43	22.329973ms
44	28.41183ms
45	21.412201ms
46	21.594398ms
47	21.624406ms
48	21.316544ms
49	21.728336ms
50	21.556673ms
51	21.545558ms
52	23.285098ms
53	22.861777ms
54	23.078109ms
55	24.048149ms
56	24.722502ms
57	25.249833ms
58	27.015504ms
59	22.853229ms
60	23.492716ms
61	25.641937ms
62	23.165977ms
63	23.901718ms
64	24.429659ms
65	26.256014ms
66	24.134943ms
67	23.844095ms
68	25.806026ms
69	24.658308ms
70	23.769199ms
71	23.620081ms
72	24.469371ms
73	25.33068ms
74	26.056416ms
75	24.206856ms
76	25.211648ms
77	28.859645ms
78	24.570418ms
79	23.974796ms
80	24.255446ms
81	27.048068ms
82	24.261739ms
83	23.374705ms
84	22.785548ms
85	29.742317ms
86	22.147967ms
87	24.022504ms
88	22.584976ms
89	22.388678ms
90	23.066418ms
91	22.932775ms
92	22.887556ms
93	22.69596ms
94	22.608268ms
95	22.823293ms
96	22.921511ms
97	22.971654ms
98	22.649601ms
99	22.667886ms
100	23.276257ms
101	26.117833ms
102	24.369605ms
103	23.693948ms
104	23.106476ms
105	23.150889ms
106	23.536608ms
107	23.311343ms
108	23.034904ms
109	25.401176ms
110	23.668904ms
111	23.070012ms
112	23.317671ms
113	23.069937ms
114	23.249493ms
115	23.001051ms
116	23.21323ms
117	27.59883ms
118	23.396806ms
119	23.191884ms
120	23.539824ms
121	28.717399ms
122	23.35389ms
123	23.139176ms
124	23.334307ms
125	24.032578ms
126	23.610592ms
127	24.28033ms
128	23.305674ms
129	23.140068ms
130	24.223901ms
131	24.990089ms
132	23.456822ms
133	28.427749ms
134	24.444017ms
135	23.418523ms
136	23.737864ms
137	23.615029ms
138	27.09123ms
139	23.731668ms
140	25.280666ms
141	23.693904ms
142	23.675409ms
143	23.78392ms
144	23.830018ms
145	24.093883ms
146	25.128165ms
147	26.203047ms
148	24.789299ms
149	25.737985ms
150	27.408662ms
151	24.518727ms
152	24.296771ms
153	30.659133ms
154	27.831904ms
155	26.491077ms
156	28.168659ms
157	25.180165ms
158	25.163692ms
159	28.991382ms
160	26.20461ms
161	25.728238ms
162	29.08086ms
163	25.481091ms
164	31.200578ms
165	24.412133ms
166	24.286205ms
167	24.996903ms
168	25.066621ms
169	26.676577ms
170	26.694736ms
171	25.437389ms
172	26.92769ms
173	25.359904ms
174	26.616492ms
175	26.387209ms
176	26.215173ms
177	28.913189ms
178	25.642793ms
179	26.570889ms
180	32.2103ms
181	24.801017ms
182	25.692794ms
183	24.68401ms
184	30.485818ms
185	34.419159ms
186	24.708129ms
187	24.855634ms
188	25.236683ms
