1	20.098262ms
2	20.10837ms
3	20.161283ms
4	20.147087ms
5	20.835059ms
6	20.317384ms
7	21.555611ms
8	20.26222ms
9	20.301361ms
10	20.284859ms
11	20.231241ms
12	20.263876ms
13	20.209777ms
14	20.20226ms
15	20.307889ms
16	20.280238ms
17	20.339831ms
18	20.231639ms
19	20.236917ms
20	20.398092ms
21	20.428014ms
22	20.307185ms
23	20.488614ms
24	20.352162ms
25	20.673571ms
26	20.490644ms
27	20.549077ms
28	20.675466ms
29	20.754878ms
30	20.679598ms
31	20.686718ms
32	20.647388ms
33	20.737945ms
34	21.348247ms
35	20.945619ms
36	20.790372ms
37	21.386838ms
38	24.561567ms
39	21.556319ms
40	21.398111ms
41	23.734202ms
42	21.564142ms
43	20.983398ms
44	21.285879ms
45	21.986833ms
46	21.282193ms
47	22.543718ms
48	21.66511ms
49	22.1851ms
50	23.572514ms
51	22.562456ms
52	22.114406ms
53	21.206ms
54	22.061967ms
55	21.538647ms
56	22.58507ms
57	22.363812ms
58	21.365081ms
59	28.151668ms
60	23.871178ms
61	22.334735ms
62	22.864886ms
63	24.654557ms
64	24.332698ms
65	23.212526ms
66	23.51622ms
67	23.99959ms
68	23.421341ms
69	23.491821ms
70	24.734461ms
71	23.290008ms
72	24.590614ms
73	23.604539ms
74	24.825491ms
75	25.899256ms
76	22.52073ms
77	22.815188ms
78	21.861471ms
79	27.324808ms
80	23.946847ms
81	23.946785ms
82	26.426802ms
83	24.44963ms
84	26.282371ms
85	36.223347ms
86	33.721246ms
87	29.568443ms
88	24.585297ms
89	26.126353ms
90	29.54122ms
91	26.773312ms
92	29.404625ms
93	38.454064ms
94	28.581678ms
95	31.108667ms
96	22.291731ms
97	28.949005ms
98	24.278439ms
99	26.400309ms
100	36.689233ms
101	30.205396ms
102	23.916028ms
103	25.66024ms
104	26.617834ms
105	26.413071ms
106	28.107332ms
107	22.114126ms
108	31.308896ms
109	42.171984ms
110	22.267873ms
111	36.776298ms
112	22.34156ms
113	39.557472ms
114	35.130793ms
115	32.029302ms
116	27.165473ms
117	32.271007ms
118	33.752007ms
119	41.866614ms
120	44.301702ms
121	29.736912ms
122	34.278047ms
123	33.599376ms
124	34.089328ms
125	44.822152ms
126	48.698689ms
127	39.001028ms
128	22.871347ms
129	35.240212ms
130	27.969603ms
131	34.119874ms
132	29.659125ms
133	30.708208ms
134	35.341985ms
135	25.865509ms
136	29.736316ms
137	39.603104ms
138	44.83992ms
139	36.435382ms
140	23.169666ms
141	37.539276ms
142	42.469308ms
143	43.701734ms
144	22.596544ms
145	22.643072ms
146	53.348139ms
147	39.96433ms
148	55.15488ms
149	32.11718ms
150	43.361596ms
151	47.984447ms
152	29.429298ms
153	30.182232ms
154	44.198192ms
155	43.392327ms
156	45.70941ms
157	50.614587ms
158	44.184231ms
159	39.698443ms
160	42.412442ms
161	48.505789ms
162	44.815932ms
163	44.180949ms
164	54.349869ms
165	37.189167ms
166	37.339333ms
167	59.264226ms
168	54.035761ms
169	36.353059ms
170	47.804885ms
171	46.960071ms
172	46.027165ms
173	44.193572ms
174	50.555934ms
175	24.543746ms
176	48.782103ms
177	46.24637ms
178	44.874872ms
179	50.087916ms
180	47.91228ms
181	45.263696ms
182	44.569997ms
183	53.95136ms
184	48.796198ms
185	57.187899ms
186	56.424881ms
187	53.114626ms
188	39.729595ms
189	51.921827ms
